Device ID,Data type,Timestamp,Location,Value,Trust,Output 
1234567890,Traffic camera data,10/26/2023 0:25,"37.7833,-122.4167",Bridge closure due to construction,0.8,1
1234567891,GPS data,10/26/2023 17:28,"37.7833,-122.4167",Black car running red light,0,0
1234567892,Sensor data,10/26/2023 15:13,"37.7833,-122.4167",Bridge closure due to construction,0.4,0
1234567893,GPS data,10/26/2023 3:15,"37.7833,-122.4167",Bridge closure due to construction,0.5,1
1234567894,GPS data,10/26/2023 9:28,"37.7833,-122.4167",188 passengers,0,0
1234567895,GPS data,10/26/2023 20:32,"37.7833,-122.4167",3 mph,0.8,1
1234567896,Infrastructure data,10/26/2023 0:55,"37.7833,-122.4167",Black car running red light,0.3,0
1234567897,GPS data,10/26/2023 4:31,"37.7833,-122.4167",59 mph,0.9,1
1234567898,GPS data,10/26/2023 18:39,"37.7833,-122.4167",42 passengers,0.4,0
1234567899,Infrastructure data,10/26/2023 15:27,"37.7833,-122.4167",141 passengers,0.7,1
1234567900,GPS data,10/26/2023 5:24,"37.7833,-122.4167",Black car running red light,0.7,1
1234567901,Traffic camera data,10/26/2023 10:32,"37.7833,-122.4167",Bridge closure due to construction,0.3,0
1234567902,Infrastructure data,10/26/2023 9:00,"37.7833,-122.4167",Bridge closure due to construction,0.4,0
1234567903,Infrastructure data,10/26/2023 20:00,"37.7833,-122.4167",Black car running red light,0.4,0
1234567904,GPS data,10/26/2023 13:16,"37.7833,-122.4167",Black car running red light,0.2,0
1234567905,Sensor data,10/26/2023 16:23,"37.7833,-122.4167",14 mph,0.5,1
1234567906,Infrastructure data,10/26/2023 8:04,"37.7833,-122.4167",Black car running red light,0.7,1
1234567907,Infrastructure data,10/26/2023 13:52,"37.7833,-122.4167",Black car running red light,0.2,0
1234567908,Sensor data,10/26/2023 15:55,"37.7833,-122.4167",8 mph,0.2,0
1234567909,Traffic camera data,10/26/2023 15:00,"37.7833,-122.4167",Black car running red light,0.1,0
1234567910,Infrastructure data,10/26/2023 17:59,"37.7833,-122.4167",Black car running red light,0.8,1
1234567911,Traffic camera data,10/26/2023 12:05,"37.7833,-122.4167",Black car running red light,0.1,0
1234567912,Sensor data,10/26/2023 22:52,"37.7833,-122.4167",186 passengers,0,0
1234567913,GPS data,10/26/2023 11:49,"37.7833,-122.4167",Bridge closure due to construction,0.9,1
1234567914,GPS data,10/26/2023 14:01,"37.7833,-122.4167",Bridge closure due to construction,0,0
1234567915,Infrastructure data,10/26/2023 11:33,"37.7833,-122.4167",Black car running red light,0.5,1
1234567916,Traffic camera data,10/26/2023 5:24,"37.7833,-122.4167",92 passengers,0.7,1
1234567917,Infrastructure data,10/26/2023 12:22,"37.7833,-122.4167",Bridge closure due to construction,0.6,1
1234567918,Infrastructure data,10/26/2023 6:16,"37.7833,-122.4167",175 passengers,0.3,0
